2022-06-13 10:05:27.104 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 29388 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-13 10:22:18.928 [nioEventLoopGroup-3-1] INFO  c.g.s.gateway.socket.channel.SocketChannelHandler-Socekt:与[{}:{}]成功建立连接！
2022-06-13 10:22:19.990 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-9001"]
2022-06-13 10:22:20.032 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Started GinFonSystemApplication in 11.653 seconds (JVM running for 14.546)
2022-06-13 10:22:20.318 [http-nio-9001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-13 10:22:27.351 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:32.349 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:37.344 [jiKongThread--9-2] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:42.338 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:47.340 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:52.347 [jiKongThread--9-2] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:22:57.346 [jiKongThread--9-4] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:02.338 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:07.344 [jiKongThread--9-5] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:12.338 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:17.341 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
