2022-06-10 14:27:30.688 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 37016 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-10 15:47:59.394 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.394 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.394 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.395 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.395 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.395 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.395 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.396 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.397 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.397 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.397 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.397 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.398 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.399 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.400 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.400 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.400 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.400 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.400 [jiKongThread--9-10] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
